frame,motion_idx,motion_frame,server_motion_idx,server_frame_idx,sync_status,body_pos_max_diff,body_pos_mean_diff,dof_max_diff,dof_mean_diff
190,116,30,116,23,SYNC,0.000000,0.000000,0.775551,0.183402
191,116,30,116,23,SYNC,0.000000,0.000000,0.996280,0.192565
192,116,31,116,23,SYNC,0.000000,0.000000,1.160939,0.197335
193,116,32,116,23,SYNC,0.000000,0.000000,1.298712,0.200593
194,116,32,116,23,SYNC,0.000000,0.000000,1.362580,0.201322
195,116,33,116,23,SYNC,0.000000,0.000000,1.374877,0.204931
196,116,33,116,23,SYNC,0.000000,0.000000,1.341055,0.206902
197,116,34,116,23,SYNC,0.000000,0.000000,1.230645,0.205382
198,116,35,116,23,SYNC,0.000000,0.000000,1.148578,0.202364
199,116,35,116,23,SYNC,0.000000,0.000000,1.139259,0.195479
200,116,36,116,23,SYNC,0.000000,0.000000,1.108120,0.185714
201,116,36,116,23,SYNC,0.000000,0.000000,1.057469,0.173705
202,116,37,116,23,SYNC,0.000000,0.000000,0.965001,0.162238
203,116,38,116,23,SYNC,0.000000,0.000000,0.858413,0.156705
204,116,38,116,23,SYNC,0.000000,0.000000,0.777490,0.158197
205,116,39,116,23,SYNC,0.000000,0.000000,0.786826,0.160709
206,116,39,116,23,SYNC,0.000000,0.000000,0.761244,0.160810
207,116,40,116,23,SYNC,0.000000,0.000000,0.691693,0.156908
208,116,41,116,23,SYNC,0.000000,0.000000,0.613685,0.152929
209,116,41,116,23,SYNC,0.000000,0.000000,0.598172,0.147636
210,116,42,116,23,SYNC,0.000000,0.000000,0.588093,0.142322
211,116,42,116,23,SYNC,0.000000,0.000000,0.582872,0.136022
212,116,43,116,23,SYNC,0.000000,0.000000,0.584933,0.129340
213,116,44,116,23,SYNC,0.000000,0.000000,0.599617,0.136192
214,116,44,116,23,SYNC,0.000000,0.000000,0.698270,0.149713
215,116,45,116,23,SYNC,0.000000,0.000000,0.768056,0.164877
216,116,45,116,23,SYNC,0.000000,0.000000,0.812024,0.187632
217,116,46,116,23,SYNC,0.000000,0.000000,0.916273,0.207348
218,116,47,116,23,SYNC,0.000000,0.000000,1.089997,0.229884
219,116,47,116,23,SYNC,0.000000,0.000000,1.227361,0.251189
220,116,48,116,23,SYNC,0.000000,0.000000,1.343822,0.269876
221,116,48,116,23,SYNC,0.000000,0.000000,1.441589,0.288375
222,116,49,116,23,SYNC,0.000000,0.000000,1.513600,0.308982
223,116,50,116,23,SYNC,0.000000,0.000000,1.577043,0.329752
224,116,50,116,23,SYNC,0.000000,0.000000,1.622195,0.346276
225,116,51,116,23,SYNC,0.000000,0.000000,1.657979,0.359666
226,116,51,116,23,SYNC,0.000000,0.000000,1.685385,0.371071
227,116,52,116,23,SYNC,0.000000,0.000000,1.701409,0.380594
228,116,53,116,23,SYNC,0.000000,0.000000,1.713846,0.387595
229,116,53,116,23,SYNC,0.000000,0.000000,1.719028,0.389548
230,116,54,116,23,SYNC,0.000000,0.000000,1.721157,0.388094
231,116,54,116,23,SYNC,0.000000,0.000000,1.720556,0.383360
232,116,55,116,23,SYNC,0.000000,0.000000,1.717142,0.374107
233,116,56,116,23,SYNC,0.000000,0.000000,1.713176,0.366019
234,116,56,116,23,SYNC,0.000000,0.000000,1.708802,0.352361
235,116,57,116,23,SYNC,0.000000,0.000000,1.705707,0.335579
236,116,57,116,23,SYNC,0.000000,0.000000,1.703757,0.317661
237,116,58,116,23,SYNC,0.000000,0.000000,1.705038,0.302899
238,116,59,116,23,SYNC,0.000000,0.000000,1.707139,0.286589
239,116,59,116,23,SYNC,0.000000,0.000000,1.710478,0.266801
240,116,60,116,23,SYNC,0.000000,0.000000,1.711713,0.246338
241,116,60,116,23,SYNC,0.000000,0.000000,1.711067,0.237375
242,116,61,116,23,SYNC,0.000000,0.000000,1.701786,0.230929
243,116,62,116,23,SYNC,0.000000,0.000000,1.688447,0.234768
244,116,62,116,23,SYNC,0.000000,0.000000,1.664066,0.244701
245,116,63,116,23,SYNC,0.000000,0.000000,1.632097,0.250183
246,116,63,116,23,SYNC,0.000000,0.000000,1.593341,0.251685
247,116,64,116,23,SYNC,0.000000,0.000000,1.543492,0.246646
248,116,65,116,23,SYNC,0.000000,0.000000,1.490028,0.240503
249,116,65,116,23,SYNC,0.000000,0.000000,1.429002,0.233804
250,116,66,116,23,SYNC,0.000000,0.000000,1.366080,0.226323
251,116,66,116,23,SYNC,0.000000,0.000000,1.301463,0.222033
252,116,67,116,23,SYNC,0.000000,0.000000,1.239736,0.218327
253,116,68,116,23,SYNC,0.000000,0.000000,1.185083,0.216144
254,116,68,116,23,SYNC,0.000000,0.000000,1.149506,0.214444
255,116,69,116,23,SYNC,0.000000,0.000000,1.119810,0.212200
256,116,69,116,23,SYNC,0.000000,0.000000,1.095373,0.209739
257,116,70,116,23,SYNC,0.000000,0.000000,1.082809,0.206896
258,116,71,116,23,SYNC,0.000000,0.000000,1.074779,0.203945
259,116,71,116,23,SYNC,0.000000,0.000000,1.077598,0.200897
260,116,72,116,23,SYNC,0.000000,0.000000,1.085564,0.198615
261,116,72,116,23,SYNC,0.000000,0.000000,1.098133,0.202205
262,116,73,116,23,SYNC,0.000000,0.000000,1.114036,0.208489
263,116,74,116,23,SYNC,0.000000,0.000000,1.130124,0.215323
264,116,74,116,23,SYNC,0.000000,0.000000,1.144754,0.222531
265,116,75,116,23,SYNC,0.000000,0.000000,1.156636,0.229109
266,116,75,116,23,SYNC,0.000000,0.000000,1.166058,0.235123
267,116,76,116,23,SYNC,0.000000,0.000000,1.170672,0.238842
268,116,77,116,23,SYNC,0.000000,0.000000,1.173797,0.244047
269,116,77,116,23,SYNC,0.000000,0.000000,1.173964,0.254566
270,116,78,116,23,SYNC,0.000000,0.000000,1.173601,0.263597
271,116,78,116,23,SYNC,0.000000,0.000000,1.172765,0.271438
272,116,79,116,23,SYNC,0.000000,0.000000,1.172886,0.275114
273,116,80,116,23,SYNC,0.000000,0.000000,1.173582,0.278690
274,116,80,116,23,SYNC,0.000000,0.000000,1.176017,0.278271
275,116,81,116,23,SYNC,0.000000,0.000000,1.179678,0.274883
276,116,81,116,23,SYNC,0.000000,0.000000,1.184436,0.269082
277,116,82,116,23,SYNC,0.000000,0.000000,1.190933,0.260074
278,116,83,116,23,SYNC,0.000000,0.000000,1.197993,0.251153
279,116,83,116,23,SYNC,0.000000,0.000000,1.206218,0.240840
280,116,84,116,23,SYNC,0.000000,0.000000,1.214696,0.229730
281,116,84,116,23,SYNC,0.000000,0.000000,1.223399,0.217907
282,116,85,116,23,SYNC,0.000000,0.000000,1.231298,0.206539
283,116,86,116,23,SYNC,0.000000,0.000000,1.238590,0.202104
284,116,86,116,23,SYNC,0.000000,0.000000,1.243903,0.199847
285,116,87,116,23,SYNC,0.000000,0.000000,1.247269,0.201679
286,116,87,116,23,SYNC,0.000000,0.000000,1.248894,0.203543
287,116,88,116,23,SYNC,0.000000,0.000000,1.246638,0.205274
288,116,89,116,23,SYNC,0.000000,0.000000,1.242796,0.206904
289,116,89,116,23,SYNC,0.000000,0.000000,1.234974,0.208203
290,116,90,116,23,SYNC,0.000000,0.000000,1.224593,0.209134
291,116,90,116,23,SYNC,0.000000,0.000000,1.211923,0.209736
292,116,91,116,23,SYNC,0.000000,0.000000,1.195758,0.209535
293,116,92,116,23,SYNC,0.000000,0.000000,1.178511,0.209011
294,116,92,116,23,SYNC,0.000000,0.000000,1.159111,0.207685
295,116,93,116,23,SYNC,0.000000,0.000000,1.139164,0.207733
296,116,93,116,23,SYNC,0.000000,0.000000,1.118728,0.207697
297,116,94,116,23,SYNC,0.000000,0.000000,1.107899,0.206815
298,116,95,116,23,SYNC,0.000000,0.000000,1.105442,0.206376
299,116,95,116,23,SYNC,0.000000,0.000000,1.102432,0.206197
300,116,96,116,23,SYNC,0.000000,0.000000,1.098896,0.207108
301,116,96,116,23,SYNC,0.000000,0.000000,1.114854,0.207931
302,116,97,116,23,SYNC,0.000000,0.000000,1.127632,0.208424
303,116,98,116,23,SYNC,0.000000,0.000000,1.138604,0.208777
304,116,98,116,23,SYNC,0.000000,0.000000,1.145394,0.208978
305,116,99,116,23,SYNC,0.000000,0.000000,1.150068,0.209306
306,116,99,116,23,SYNC,0.000000,0.000000,1.152847,0.210499
307,116,100,116,23,SYNC,0.000000,0.000000,1.153371,0.212115
308,116,101,116,23,SYNC,0.000000,0.000000,1.153199,0.213724
309,116,101,116,23,SYNC,0.000000,0.000000,1.151656,0.216175
310,116,102,116,23,SYNC,0.000000,0.000000,1.149417,0.219929
311,116,102,116,23,SYNC,0.000000,0.000000,1.146556,0.223787
312,26,17,26,17,SYNC,0.000000,0.000000,0.577590,0.182490
313,26,17,26,17,SYNC,0.000000,0.000000,0.567475,0.180175
314,26,18,26,18,SYNC,0.000000,0.000000,0.658213,0.200125
315,26,19,26,19,SYNC,0.000000,0.000000,0.643496,0.187913
316,26,19,26,19,SYNC,0.000000,0.000000,0.642130,0.186344
317,26,20,26,20,SYNC,0.000000,0.000000,0.663177,0.183853
318,26,20,26,20,SYNC,0.000000,0.000000,0.673029,0.184417
319,26,21,26,21,SYNC,0.000000,0.000000,0.747068,0.157203
320,26,22,26,22,SYNC,0.000000,0.000000,0.698371,0.149297
321,26,22,26,22,SYNC,0.000000,0.000000,0.692314,0.149941
322,26,23,26,23,SYNC,0.000000,0.000000,0.589486,0.185676
323,26,23,26,23,SYNC,0.000000,0.000000,0.574788,0.184101
324,26,24,26,24,SYNC,0.000000,0.000000,0.642491,0.193549
325,26,25,26,25,SYNC,0.000000,0.000000,0.720632,0.190458
326,26,25,26,25,SYNC,0.000000,0.000000,0.765649,0.182257
327,26,26,26,26,SYNC,0.000000,0.000000,0.727092,0.177485
328,26,26,26,26,SYNC,0.000000,0.000000,0.733637,0.170484
329,26,27,26,27,SYNC,0.000000,0.000000,0.667477,0.159954
330,26,28,26,28,SYNC,0.000000,0.000000,0.604124,0.149694
331,26,28,26,28,SYNC,0.000000,0.000000,0.574453,0.143768
332,26,29,26,29,SYNC,0.000000,0.000000,0.635823,0.159701
333,26,29,26,29,SYNC,0.000000,0.000000,0.610168,0.157893
334,26,30,26,30,SYNC,0.000000,0.000000,0.577927,0.171349
335,26,31,26,31,SYNC,0.000000,0.000000,0.558579,0.147130
336,26,31,26,31,SYNC,0.000000,0.000000,0.614124,0.156738
337,26,32,26,32,SYNC,0.000000,0.000000,0.708926,0.161027
338,26,32,26,32,SYNC,0.000000,0.000000,0.758442,0.171467
339,26,33,26,33,SYNC,0.000000,0.000000,0.776140,0.175048
340,26,34,26,34,SYNC,0.000000,0.000000,0.766635,0.181557
341,26,34,26,34,SYNC,0.000000,0.000000,0.793769,0.185813
342,26,35,26,35,SYNC,0.000000,0.000000,0.793140,0.190136
343,26,35,26,35,SYNC,0.000000,0.000000,0.804313,0.190063
344,26,36,26,36,SYNC,0.000000,0.000000,0.791956,0.190042
345,26,37,26,36,SYNC,0.000000,0.000000,0.781985,0.193800
346,26,37,26,36,SYNC,0.000000,0.000000,0.758282,0.196436
347,26,38,26,36,SYNC,0.000000,0.000000,0.725673,0.197736
348,26,38,26,36,SYNC,0.000000,0.000000,0.685616,0.197369
349,26,39,26,36,SYNC,0.000000,0.000000,0.633000,0.193007
350,26,40,26,36,SYNC,0.000000,0.000000,0.585454,0.187399
351,26,40,26,36,SYNC,0.000000,0.000000,0.650532,0.183153
352,26,41,26,36,SYNC,0.000000,0.000000,0.695575,0.178165
353,26,41,26,36,SYNC,0.000000,0.000000,0.723864,0.172669
354,26,42,26,36,SYNC,0.000000,0.000000,0.717981,0.166156
355,26,43,26,36,SYNC,0.000000,0.000000,0.699304,0.160274
356,26,43,26,36,SYNC,0.000000,0.000000,0.650601,0.153493
357,26,44,26,36,SYNC,0.000000,0.000000,0.583932,0.146082
358,26,44,26,36,SYNC,0.000000,0.000000,0.568769,0.142883
359,26,45,26,36,SYNC,0.000000,0.000000,0.598569,0.142010
360,26,46,26,36,SYNC,0.000000,0.000000,0.628737,0.142652
361,26,46,26,36,SYNC,0.000000,0.000000,0.659153,0.144292
362,26,47,26,36,SYNC,0.000000,0.000000,0.688493,0.150545
363,26,47,26,36,SYNC,0.000000,0.000000,0.716933,0.156545
